Sex,Length,Diameter,Height,Whole_Weight,Older_12
I,0.255,0.195,0.055,0.0725,0
I,0.275,0.2,0.055,0.0925,0
I,0.32,0.235,0.09,0.183,0
I,0.325,NA,0.075,NA,0
I,0.33,0.225,0.075,0.187,0
I,0.36,0.27,0.09,0.232,0
NA,NA,NA,0.095,NA,NA
I,0.375,0.285,0.09,0.2545,0
I,0.39,0.29,0.09,0.2625,0
I,0.45,0.335,0.105,0.362,0
I,0.455,0.35,0.105,0.4445,0
NA,NA,NA,0.115,NA,NA
I,0.495,0.375,0.12,0.589,0
NA,NA,0.365,NA,NA,0
I,0.5,0.375,0.12,0.529,0
M,0.52,NA,0.105,0.872,NA
NA,NA,NA,0.145,NA,NA
F,0.525,0.43,0.135,0.8435,0
M,NA,NA,0.14,0.818,0
F,0.54,0.42,0.14,0.8035,0
F,0.54,NA,0.15,NA,0
F,0.57,0.425,0.13,0.782,0
M,0.57,0.42,0.14,0.8745,0
NA,0.58,0.445,0.16,NA,0
F,0.58,0.445,0.135,0.95,0
M,0.59,NA,0.155,NA,0
F,NA,0.455,NA,0.976,NA
M,0.59,0.485,0.155,NA,NA
M,0.595,0.435,0.16,NA,NA
M,0.6,0.475,0.175,NA,NA
M,0.6,0.45,0.16,1.142,0
NA,NA,0.475,NA,NA,0
F,0.62,0.48,0.17,1.1045,0
NA,NA,NA,0.175,NA,NA
M,0.625,0.5,0.13,1.082,0
F,0.625,0.485,0.16,1.254,0
NA,NA,NA,0.165,NA,NA
M,0.63,0.485,0.16,1.243,0
F,0.635,0.51,0.185,NA,NA
NA,0.645,0.49,0.16,NA,0
NA,0.645,0.49,0.16,NA,0
NA,NA,NA,0.19,NA,NA
F,NA,NA,0.155,1.309,1
F,0.655,0.515,0.17,1.527,1
M,0.665,0.515,0.19,1.6385,1
M,0.695,NA,0.195,NA,1
F,0.72,0.565,0.18,1.719,1
F,0.72,0.55,0.18,NA,NA
F,0.72,0.565,0.17,1.613,1
M,NA,0.57,NA,2.2355,NA
NA,NA,0.595,NA,NA,1
I,0.31,0.23,0.07,0.1245,0
I,0.315,NA,0.075,0.1285,NA
I,0.32,0.205,0.08,0.181,0
I,0.325,0.25,0.075,0.1585,0
I,NA,NA,0.09,0.1965,0
I,0.37,0.28,0.085,0.198,0
I,0.37,0.27,0.09,0.1855,0
I,0.375,0.28,0.085,0.2145,0
I,0.4,0.315,0.09,0.3245,0
I,0.41,0.305,0.095,0.2625,0
I,0.425,0.34,0.1,0.371,0
I,0.435,0.335,0.095,0.298,0
NA,NA,0.31,NA,NA,0
I,NA,NA,0.14,0.447,0
F,NA,0.35,NA,0.4085,NA
I,0.47,0.385,0.13,0.587,0
I,0.475,0.375,0.11,0.494,0
I,0.495,0.375,0.12,0.614,0
I,0.5,0.39,0.13,0.5075,0
I,0.5,0.37,0.12,0.5445,0
I,0.505,NA,0.125,0.6115,NA
I,0.505,0.4,0.125,0.5605,0
M,0.505,NA,0.115,NA,0
I,0.51,NA,0.145,0.5775,NA
I,0.51,0.4,0.125,0.5935,0
I,0.52,0.4,0.11,0.597,0
NA,0.52,0.465,0.15,NA,0
NA,NA,NA,0.125,NA,NA
M,0.53,0.405,0.15,0.8315,0
F,0.535,0.445,0.125,0.8725,0
I,0.54,0.425,0.13,0.8155,1
I,0.54,0.415,0.11,0.619,0
I,0.545,0.43,0.13,0.7595,0
I,0.545,0.43,0.15,0.742,0
I,0.55,0.435,0.165,0.804,0
NA,0.55,0.425,0.13,NA,0
F,0.55,0.435,0.14,0.745,0
I,0.56,0.43,0.13,0.728,0
I,0.56,0.435,0.13,0.777,0
F,0.575,0.425,0.15,0.8765,0
I,0.575,NA,0.16,NA,0
M,0.575,0.45,0.165,0.9655,0
M,0.58,0.465,0.15,0.9065,0
M,0.58,0.46,0.15,1.049,0
F,NA,NA,0.17,0.9705,0
F,0.58,0.45,0.15,0.92,0
NA,NA,NA,0.15,NA,NA
F,0.58,0.44,0.125,0.7855,1
I,NA,0.45,NA,0.855,NA
NA,NA,0.5,NA,NA,0
I,0.59,NA,0.125,NA,0
I,NA,NA,0.145,0.9745,0
M,0.595,NA,0.155,1.2015,NA
M,0.595,0.46,0.17,1.1295,0
I,0.6,0.445,0.135,0.9205,0
NA,0.6,0.48,0.17,NA,0
M,NA,0.45,NA,1.34,NA
F,0.6,0.45,0.15,0.9625,0
M,0.6,0.465,0.165,1.0475,1
F,NA,0.495,NA,1.0915,NA
M,0.605,0.49,0.18,1.167,0
I,0.605,0.48,0.155,NA,NA
I,0.61,0.425,0.155,1.0485,1
NA,NA,0.47,NA,NA,1
M,0.61,0.48,0.14,1.0625,1
I,0.61,0.49,0.16,1.1545,1
F,0.615,NA,0.175,NA,1
F,0.615,0.515,0.135,1.1215,0
M,NA,NA,0.15,0.9335,0
F,0.615,NA,0.165,NA,0
F,0.62,0.475,0.15,NA,NA
NA,NA,NA,0.195,NA,NA
NA,0.625,0.495,0.175,NA,1
M,NA,NA,0.165,1.217,0
F,0.625,0.5,0.16,1.217,1
F,NA,0.49,NA,0.92,NA
M,NA,NA,0.12,0.8765,0
F,0.63,0.48,0.165,1.2615,0
M,0.63,NA,0.18,1.2795,NA
F,0.63,0.485,0.185,1.167,0
M,0.63,0.51,0.17,1.1885,0
F,NA,0.485,NA,1.3765,NA
M,0.635,0.52,0.175,1.292,1
M,0.635,NA,0.18,1.1795,NA
NA,NA,NA,0.19,NA,NA
M,0.635,NA,0.16,1.2075,NA
M,0.64,NA,0.18,1.297,NA
NA,0.64,0.575,0.175,NA,1
NA,NA,NA,0.15,NA,NA
F,0.645,0.52,0.17,1.197,1
M,0.645,0.495,0.19,1.539,1
M,0.65,0.52,0.195,NA,NA
F,NA,0.565,NA,1.6645,NA
F,0.655,0.5,0.205,NA,NA
F,0.655,NA,0.2,NA,1
F,0.66,0.525,0.16,NA,NA
F,0.66,0.525,0.18,NA,NA
F,0.665,0.51,0.175,1.3805,0
I,0.67,0.485,0.175,1.2565,0
F,0.67,0.525,0.19,1.527,1
NA,NA,0.525,NA,NA,0
NA,NA,0.525,NA,NA,0
M,0.67,0.54,0.175,1.482,0
M,0.68,0.515,0.16,1.2345,1
F,0.68,NA,0.17,NA,1
M,0.685,0.505,0.19,1.533,0
M,0.69,NA,0.18,NA,1
M,0.715,0.55,0.175,NA,NA
NA,NA,NA,0.19,NA,NA
M,0.735,0.59,0.205,NA,NA
NA,NA,0.575,NA,NA,1
I,0.32,0.215,0.095,0.305,0
I,NA,NA,0.115,0.4295,0
I,0.43,0.33,0.1,0.449,0
M,0.485,0.365,0.155,1.029,0
M,0.49,0.355,0.155,NA,NA
NA,NA,0.37,NA,NA,0
F,0.505,NA,0.13,0.693,NA
F,0.51,NA,0.21,NA,0
F,0.525,0.41,0.135,0.7905,0
F,0.535,NA,0.15,1.224,NA
I,0.535,0.4,0.135,NA,NA
NA,0.535,0.405,0.175,NA,1
NA,0.555,0.405,0.19,NA,0
M,0.555,NA,0.15,0.873,NA
M,0.56,0.425,0.135,0.9415,0
NA,NA,NA,0.14,NA,NA
NA,0.595,0.485,0.15,NA,0
I,0.595,NA,0.165,0.9845,NA
F,NA,NA,0.21,1.5245,1
M,0.61,0.475,0.175,NA,NA
M,NA,NA,0.17,1.281,0
F,0.62,0.5,0.17,1.148,0
F,0.625,0.49,0.11,1.136,0
F,NA,0.51,NA,1.2235,NA
NA,NA,NA,0.18,NA,NA
M,0.64,0.485,0.16,1.006,0
M,0.64,NA,0.165,1.307,NA
M,NA,0.505,NA,1.463,NA
F,0.655,NA,0.175,1.2905,NA
F,0.67,0.515,0.17,1.4265,1
M,NA,0.54,NA,1.7885,NA
M,0.7,0.545,0.185,NA,NA
M,NA,0.585,NA,2.2305,NA
F,0.75,0.615,0.205,2.2635,1
I,0.255,0.185,0.065,0.074,0
I,NA,0.26,NA,0.2075,NA
I,0.375,0.285,0.09,0.237,0
I,0.39,0.3,0.1,0.2665,0
I,0.39,NA,0.09,0.215,NA
I,0.395,0.3,0.09,0.253,0
I,0.42,NA,0.11,0.309,NA
I,0.435,0.335,0.105,0.3535,0
I,0.435,NA,0.105,0.335,NA
I,0.44,0.32,0.105,0.3875,0
I,0.45,0.33,0.115,0.365,0
I,0.45,0.34,0.125,0.4045,0
I,0.455,0.355,0.105,0.372,0
I,0.46,0.37,0.11,NA,NA
I,0.47,0.375,0.125,0.5225,0
I,0.475,0.375,0.11,0.456,0
I,0.495,0.33,0.1,0.44,0
I,0.495,0.375,0.115,0.507,0
I,0.5,0.38,0.135,0.5285,0
I,0.515,0.385,0.125,0.572,0
I,0.52,NA,0.14,0.6625,NA
I,0.52,0.395,0.115,NA,NA
I,0.525,0.4,0.11,0.6275,0
I,0.535,0.42,0.145,0.6885,0
M,0.535,0.41,0.12,NA,NA
NA,NA,NA,0.19,NA,NA
I,0.55,NA,0.15,0.6755,NA
NA,0.55,0.445,0.145,NA,1
NA,NA,0.45,NA,NA,0
I,0.565,0.44,0.135,0.768,0
NA,NA,0.45,NA,NA,0
NA,0.57,0.47,0.14,NA,0
NA,0.575,0.47,0.15,NA,0
I,0.575,0.43,0.13,0.7425,0
M,0.575,NA,0.14,NA,0
I,0.575,0.445,0.16,0.9175,0
F,0.58,0.435,0.155,0.8785,0
M,NA,NA,0.175,1.1275,1
M,0.59,0.435,0.165,0.9765,0
NA,NA,NA,0.145,NA,NA
M,0.59,NA,0.15,NA,0
M,0.595,0.47,0.175,NA,NA
NA,NA,NA,0.14,NA,NA
F,0.595,0.46,0.16,0.921,0
F,NA,0.45,NA,0.869,NA
NA,NA,NA,0.15,NA,NA
F,0.61,0.495,0.16,1.089,1
NA,NA,0.485,NA,NA,1
M,NA,NA,0.17,1.145,1
I,0.62,NA,0.16,0.907,NA
F,0.625,NA,0.155,NA,1
NA,NA,NA,0.175,NA,NA
M,NA,0.495,NA,1.31,NA
F,NA,NA,0.165,1.251,1
F,0.635,0.49,0.155,1.145,0
M,0.635,0.5,0.18,1.154,0
F,0.64,0.485,0.145,NA,NA
F,0.64,NA,0.15,NA,0
M,0.65,0.505,0.17,1.5595,1
M,0.65,NA,0.175,NA,1
M,0.655,NA,0.165,NA,1
F,NA,0.49,NA,1.204,NA
F,0.655,0.455,0.17,1.2895,1
F,0.66,0.53,0.18,1.5175,0
NA,0.665,0.525,0.155,NA,0
NA,NA,0.52,NA,NA,1
F,0.68,0.52,0.185,1.494,1
NA,NA,NA,0.195,NA,NA
M,0.685,NA,0.165,1.545,NA
NA,NA,NA,0.2,NA,NA
NA,NA,0.555,NA,NA,1
M,0.71,0.56,0.175,1.724,1
NA,NA,NA,0.205,NA,NA
F,0.755,NA,0.2,NA,1
I,0.225,0.17,0.05,0.0515,0
I,NA,NA,0.05,0.057,0
I,0.255,0.185,0.06,0.0925,0
I,0.355,0.27,0.075,0.204,0
I,0.425,0.31,0.095,0.3075,0
I,NA,0.32,NA,0.262,NA
M,NA,0.35,NA,0.458,NA
M,0.46,0.355,0.14,NA,NA
NA,NA,0.38,NA,NA,0
M,0.51,0.395,0.125,0.5805,1
F,0.52,0.43,0.15,0.728,1
M,0.525,0.4,0.13,0.622,0
M,0.53,NA,0.12,NA,0
F,0.53,0.395,0.115,0.5685,0
M,0.545,NA,0.145,0.9385,NA
F,0.55,0.43,0.15,0.655,0
M,0.575,0.48,0.15,0.9465,0
M,0.58,0.43,0.125,0.9115,0
NA,NA,0.455,NA,NA,1
M,0.6,NA,0.18,1.193,NA
M,0.645,NA,0.18,1.461,NA
M,0.66,0.525,0.2,1.489,0
I,0.29,0.215,0.06,0.1115,0
I,0.3,0.22,0.065,0.1235,0
I,0.37,0.275,0.1,0.2815,0
I,0.375,0.285,0.08,0.226,0
I,0.38,0.29,0.085,0.2285,0
I,0.395,0.3,0.12,0.2995,0
I,0.41,NA,0.105,0.361,NA
I,0.415,0.32,0.115,0.3045,0
I,0.425,0.325,0.105,0.3975,0
I,0.44,0.34,0.1,0.379,0
I,0.44,0.34,0.12,0.4995,0
M,0.465,0.405,0.135,0.7775,0
F,0.47,NA,0.1,NA,0
M,NA,0.415,NA,0.751,NA
NA,0.525,0.4,0.135,NA,0
F,0.525,0.4,0.13,0.6995,0
F,0.55,0.425,0.14,0.952,0
M,NA,0.42,NA,0.8755,NA
M,0.575,0.45,0.135,0.9215,0
F,0.575,0.45,0.135,0.8285,0
M,0.585,0.46,0.15,1.206,0
M,0.615,0.495,0.155,1.2865,1
F,0.62,NA,0.155,NA,0
F,0.63,NA,0.19,1.1655,NA
F,0.63,0.49,0.17,1.2155,0
NA,NA,0.515,NA,NA,1
NA,NA,0.505,NA,NA,1
F,0.685,0.53,0.17,1.5105,0
F,NA,NA,0.1,0.5565,0
NA,0.46,0.36,0.125,NA,0
M,0.46,0.35,0.125,0.5165,0
M,0.535,0.42,0.125,0.764,1
NA,0.465,0.36,0.105,NA,0
M,0.51,0.4,0.14,0.6905,0
I,0.335,0.26,0.09,0.1835,1
M,0.55,0.425,0.16,0.97,1
I,0.18,0.135,0.08,0.033,0
I,0.215,NA,0.055,0.059,NA
I,0.2,0.15,0.04,0.046,0
NA,0.625,0.48,0.2,NA,0
M,0.55,NA,0.17,0.8465,NA
NA,NA,0.45,NA,NA,1
NA,0.645,0.5,0.18,NA,1
F,NA,NA,0.195,1.8745,1
NA,NA,0.54,NA,NA,1
NA,NA,0.505,NA,NA,0
NA,NA,0.5,NA,NA,1
NA,0.47,0.375,0.105,NA,1
M,0.425,0.335,0.1,0.4085,0
M,0.54,0.41,0.13,0.56,0
M,0.505,0.395,0.125,0.635,0
M,NA,NA,0.165,0.875,0
F,0.43,0.35,0.09,0.397,0
M,0.55,0.435,0.11,0.806,0
F,0.34,0.255,0.085,0.204,0
I,0.275,0.2,0.065,0.1165,0
F,0.335,0.22,0.07,0.17,0
NA,0.64,0.49,0.14,NA,1
F,0.55,0.44,0.125,0.765,0
F,0.64,0.475,0.19,1.151,1
F,0.545,0.41,0.115,0.6765,0
F,0.64,0.54,0.175,NA,NA
M,NA,NA,0.155,1.153,1
M,0.605,0.47,0.115,1.114,1
M,0.56,0.45,0.155,0.9125,0
F,0.57,0.465,0.155,NA,NA
M,0.525,0.405,0.16,NA,NA
F,0.505,NA,0.18,NA,1
M,0.35,0.265,0.09,0.2265,0
NA,NA,NA,0.12,NA,NA
I,0.51,0.405,0.12,0.61,1
F,0.49,NA,0.13,NA,1
F,0.505,NA,0.135,0.657,NA
M,0.38,0.3,0.1,0.2505,0
I,0.27,0.195,0.07,0.102,0
F,0.37,0.295,0.1,0.2685,0
M,NA,NA,0.135,0.551,1
M,NA,0.505,NA,1.307,NA
M,NA,0.44,NA,0.9185,NA
F,0.67,NA,0.175,1.707,NA
F,NA,NA,0.15,0.8805,1
NA,0.47,0.36,0.11,NA,0
F,0.51,0.385,0.135,0.632,0
NA,0.72,0.575,0.23,NA,1
M,NA,0.405,NA,0.9235,NA
I,0.2,0.145,0.025,0.0345,0
M,0.65,0.515,0.18,1.3315,1
NA,NA,0.405,NA,NA,1
M,0.565,0.435,0.185,1.032,1
F,0.61,0.47,0.16,1.017,1
F,0.545,0.405,0.175,0.98,1
I,0.325,0.245,0.075,0.1495,0
I,0.31,0.235,0.075,0.1515,0
M,0.45,0.335,0.14,0.478,1
F,0.49,0.38,0.155,0.578,0
F,NA,0.405,NA,0.6835,NA
F,0.385,0.3,0.1,0.2725,0
F,0.62,NA,0.22,NA,1
F,0.635,0.505,0.185,1.3035,1
NA,NA,NA,0.185,NA,NA
M,0.335,0.265,0.095,0.1975,0
I,0.295,0.215,0.075,0.116,0
NA,0.48,0.38,0.125,NA,1
I,0.32,0.25,0.08,0.1565,0
I,0.43,0.34,0.125,0.384,1
M,NA,NA,0.14,1.0055,1
F,0.6,0.48,0.165,1.1345,0
F,0.585,0.46,0.17,1.0835,1
F,0.555,0.42,0.14,0.868,1
F,0.57,0.495,0.16,1.0915,1
NA,NA,0.485,NA,NA,1
M,0.63,0.51,0.19,1.4985,1
M,0.425,NA,0.12,NA,0
F,0.64,0.505,0.19,NA,NA
NA,0.675,0.525,0.175,NA,1
M,0.5,0.4,0.145,0.6025,1
NA,0.385,0.305,0.09,NA,0
M,0.52,0.435,0.195,NA,NA
M,0.52,NA,0.175,0.753,NA
M,0.64,NA,0.2,1.3765,NA
I,0.44,NA,0.12,NA,0
F,0.42,0.32,0.13,0.4135,0
F,0.45,0.35,0.135,NA,NA
I,NA,0.325,NA,0.3915,NA
F,0.64,0.505,0.19,NA,NA
NA,NA,0.455,NA,NA,1
NA,NA,0.325,NA,NA,1
NA,NA,0.41,NA,NA,1
NA,0.61,0.48,0.19,NA,1
F,0.59,NA,0.205,1.2315,NA
NA,NA,NA,0.155,NA,NA
I,0.345,NA,0.1,NA,0
M,0.635,0.51,0.155,NA,NA
NA,0.695,0.53,0.15,NA,1
F,0.69,0.54,0.185,NA,NA
NA,NA,NA,0.135,NA,NA
M,NA,0.525,NA,1.4995,NA
NA,NA,NA,0.19,NA,NA
NA,0.655,0.51,0.16,NA,1
F,0.69,0.555,0.205,NA,NA
F,0.695,NA,0.16,1.6365,NA
M,0.55,0.435,0.16,0.906,1
F,NA,NA,0.19,1.213,1
M,NA,NA,0.165,1.06,1
M,0.3,0.24,0.09,0.161,0
NA,NA,0.35,NA,NA,0
I,0.455,0.375,0.125,0.533,0
M,0.48,0.38,0.13,NA,NA
I,0.43,0.35,0.105,0.366,0
F,0.435,0.35,0.105,0.4195,0
I,0.3,0.23,0.075,0.15,0
F,0.575,0.48,0.15,0.8745,1
M,0.505,NA,0.11,0.655,NA
M,0.455,0.375,0.125,NA,NA
NA,NA,NA,0.165,NA,NA
F,0.56,0.435,0.125,NA,NA
NA,NA,0.52,NA,NA,1
F,0.595,0.485,0.145,1.2515,1
M,0.565,0.45,0.115,0.9085,1
F,0.655,0.5,0.14,1.1705,1
NA,0.48,0.38,0.135,NA,1
F,0.495,NA,0.135,NA,1
F,0.4,0.335,0.115,0.4335,0
NA,NA,NA,0.125,NA,NA
NA,NA,NA,0.145,NA,NA
F,0.625,0.475,0.13,0.8595,1
M,0.52,0.425,0.155,0.7735,1
M,0.465,NA,0.125,NA,1
F,0.475,0.375,0.14,NA,NA
NA,0.5,0.405,0.14,NA,1
M,0.46,0.355,0.11,0.415,1
NA,NA,0.385,NA,NA,1
F,0.465,NA,0.14,NA,1
M,0.525,0.415,0.16,0.6445,1
F,0.655,NA,0.19,NA,1
M,0.69,0.54,0.185,1.6195,1
M,0.55,0.45,0.17,0.81,1
F,0.58,NA,0.165,1.0385,NA
F,0.59,NA,0.155,0.9715,NA
M,0.565,NA,0.155,0.868,NA
F,0.665,0.57,0.185,1.522,1
NA,NA,NA,0.175,NA,NA
M,0.55,NA,0.13,NA,1
F,0.605,0.475,0.145,1.0185,1
M,0.535,NA,0.16,0.72,NA
NA,NA,0.395,NA,NA,1
M,NA,0.405,NA,0.738,NA
F,0.495,0.375,0.15,0.597,1
M,0.575,NA,0.185,NA,1
NA,NA,0.5,NA,NA,1
M,0.59,NA,0.12,0.7485,NA
NA,NA,0.485,NA,NA,1
M,NA,NA,0.19,1.229,1
F,0.62,0.5,0.175,1.146,1
M,0.605,0.485,0.175,1.145,1
F,0.615,NA,0.205,NA,1
NA,NA,0.525,NA,NA,1
F,0.71,NA,0.175,NA,1
NA,0.565,0.45,0.185,NA,1
F,0.57,0.435,0.14,0.8085,1
I,0.6,0.445,0.175,1.057,1
I,0.41,0.3,0.115,NA,NA
F,0.45,0.325,0.135,0.438,0
M,0.275,0.2,0.08,0.099,0
I,0.485,0.355,0.12,0.5085,0
F,0.62,0.485,0.165,NA,NA
NA,NA,NA,0.135,NA,NA
F,0.505,0.41,0.15,0.6345,1
M,0.4,0.31,0.11,0.314,1
NA,NA,NA,0.115,NA,NA
M,0.35,0.26,0.09,0.195,0
M,NA,NA,0.14,0.451,1
M,0.265,0.2,0.065,0.084,0
M,0.165,0.125,0.04,0.0245,0
NA,NA,0.555,NA,NA,1
NA,NA,0.425,NA,NA,1
I,NA,0.385,NA,0.5425,NA
F,0.48,0.37,0.13,NA,NA
F,0.395,0.3,0.105,0.3375,1
I,0.375,0.28,0.1,0.2565,1
NA,NA,NA,0.09,NA,NA
NA,NA,NA,0.135,NA,NA
NA,0.635,0.48,0.2,NA,1
I,0.575,0.475,0.17,NA,NA
NA,0.545,0.435,0.15,NA,0
F,0.385,0.305,0.125,0.314,0
F,0.51,0.34,0.18,0.7005,1
I,NA,NA,0.125,0.4895,1
NA,0.45,0.36,0.125,NA,1
I,0.39,0.3,0.105,0.259,0
NA,NA,0.325,NA,NA,1
F,0.45,0.35,0.125,0.4435,1
I,0.66,0.525,0.18,NA,NA
NA,0.685,0.525,0.175,NA,1
NA,0.585,0.475,0.185,NA,1
I,0.54,0.435,0.145,0.97,1
F,0.49,0.39,0.135,0.59,1
M,0.43,0.33,0.095,0.34,1
F,0.455,0.365,0.11,0.385,1
I,0.495,0.38,0.145,0.515,1
NA,NA,NA,0.145,NA,NA
I,0.47,NA,0.16,NA,1
M,0.415,0.32,0.1,0.3005,1
I,0.49,0.385,0.115,0.683,1
NA,NA,0.375,NA,NA,0
I,0.445,0.345,0.13,0.4075,1
F,0.51,NA,0.13,NA,1
F,0.52,0.405,0.145,0.829,1
I,0.475,NA,0.14,0.4545,NA
F,0.455,0.36,0.11,0.4385,0
I,0.435,0.34,0.11,0.407,0
I,0.39,0.3,0.1,0.3085,0
I,0.375,0.285,0.1,0.239,0
M,0.285,0.215,0.075,0.106,0
I,0.58,0.445,0.17,1.178,1
F,0.58,0.44,0.175,1.073,1
M,0.41,0.315,0.095,0.306,0
M,0.41,0.3,0.1,0.301,0
NA,NA,0.405,NA,NA,0
M,0.33,0.245,0.085,0.171,1
I,0.44,0.31,0.115,0.3625,1
M,0.28,0.21,0.065,0.0905,0
I,NA,NA,0.195,1.0885,1
I,0.61,0.48,0.165,1.097,1
I,0.61,0.46,0.17,1.278,1
M,0.455,0.345,0.125,0.44,1
M,NA,NA,0.09,0.163,0
I,0.44,0.33,0.135,NA,NA
M,0.54,0.405,0.155,0.9715,1
F,0.475,0.375,0.125,0.588,0
NA,0.46,0.33,0.15,NA,0
I,0.31,0.235,0.09,0.127,0
I,0.255,0.19,0.07,0.0815,0
M,0.335,0.255,0.075,0.1635,0
I,0.295,0.21,0.08,0.1,0
I,0.19,0.13,0.045,0.0265,0
M,0.545,0.435,0.165,0.9955,1
M,0.495,0.4,0.12,0.6605,1
M,0.5,NA,0.13,NA,1
F,0.305,0.225,0.07,0.1485,0
F,0.475,0.35,0.115,0.487,1
NA,0.515,0.4,0.125,NA,1
NA,NA,NA,0.145,NA,NA
M,0.74,0.535,0.185,NA,NA
M,0.565,0.465,0.15,1.1285,1
M,0.56,0.44,0.16,1.1115,0
M,0.545,NA,0.125,0.9745,NA
M,NA,0.515,NA,1.4605,NA
M,NA,NA,0.13,1.0105,0
M,0.62,0.48,0.16,1.0765,1
F,NA,NA,0.165,1.2225,1
NA,NA,0.475,NA,NA,1
F,0.475,0.375,0.15,NA,NA
M,0.365,0.285,0.085,0.2205,0
F,NA,NA,0.115,0.44,0
M,0.53,0.43,0.135,0.879,0
NA,NA,0.395,NA,NA,1
NA,NA,0.345,NA,NA,1
I,0.35,0.265,0.11,0.209,0
M,0.37,0.28,0.105,0.224,0
I,0.34,0.25,0.075,0.1765,0
I,0.35,0.28,0.075,0.196,0
I,0.35,0.265,0.08,0.192,0
I,0.39,0.315,0.09,0.3095,0
I,0.395,0.31,0.095,0.313,0
I,0.415,0.31,0.105,0.3595,0
I,0.43,0.32,0.1,0.3855,0
I,0.48,0.355,0.115,0.5785,0
M,NA,NA,0.12,0.674,0
F,0.49,0.37,0.105,0.5265,0
F,0.56,NA,0.16,1.0315,NA
M,0.56,0.45,0.14,NA,NA
M,0.58,0.46,0.15,1.0165,0
F,0.58,0.48,0.18,1.2495,0
M,NA,0.47,NA,1.1685,NA
F,NA,0.475,NA,1.148,NA
M,0.6,0.475,0.15,1.089,1
M,0.61,0.47,0.155,1.0325,0
F,0.63,0.475,0.15,1.172,1
M,NA,0.51,NA,1.3715,NA
F,0.65,0.545,0.185,1.5055,0
NA,0.71,0.55,0.2,NA,1
M,NA,NA,0.2,2.4925,1
I,0.25,0.18,0.065,0.0805,0
I,0.28,0.21,0.065,0.111,0
I,0.325,0.24,0.075,0.152,0
I,0.35,0.265,0.095,0.199,0
I,0.36,0.27,0.09,0.219,0
NA,NA,0.27,NA,NA,0
I,0.37,0.28,0.09,0.2565,0
I,0.375,0.285,0.09,0.257,0
I,0.38,0.275,0.095,0.2505,0
I,0.395,0.3,0.09,0.279,0
I,0.43,0.335,0.105,0.378,0
NA,NA,NA,0.125,NA,NA
I,NA,NA,0.1,0.5055,0
F,0.465,0.355,0.115,0.4705,0
M,0.48,0.37,0.13,NA,NA
I,0.485,0.37,0.1,0.513,0
F,0.49,0.4,0.115,0.569,0
I,0.495,0.4,0.145,0.578,0
NA,NA,0.385,NA,NA,0
F,0.505,0.39,0.12,0.5725,0
M,0.52,0.39,0.12,0.6435,0
M,0.52,0.395,0.125,NA,NA
F,NA,0.44,NA,0.7115,NA
M,0.55,0.44,0.155,NA,NA
F,0.555,0.44,0.145,0.8815,0
NA,0.555,0.42,0.11,NA,0
F,0.575,0.46,0.165,1.065,0
M,0.6,0.475,0.155,1.1385,0
NA,NA,0.48,NA,NA,1
F,0.61,0.495,0.175,1.2635,0
F,0.61,0.47,0.16,NA,NA
M,NA,NA,0.19,1.403,0
NA,NA,0.485,NA,NA,0
F,NA,0.495,NA,1.1115,NA
NA,NA,NA,0.17,NA,NA
NA,NA,NA,0.17,NA,NA
M,0.635,0.495,0.155,NA,NA
F,0.64,0.48,0.195,1.1435,0
M,0.64,NA,0.17,1.4545,NA
M,NA,NA,0.18,1.478,0
F,0.665,0.52,0.165,NA,NA
F,0.715,NA,0.23,2.0725,NA
NA,NA,NA,0.2,NA,NA
F,0.725,0.58,0.185,1.523,0
I,0.165,0.12,0.05,0.021,0
I,0.21,0.15,0.055,0.0455,0
I,0.355,0.265,0.085,0.2435,0
I,NA,0.315,NA,0.2675,NA
I,0.4,0.29,0.1,0.258,0
I,0.4,0.3,0.11,0.2985,0
I,0.435,0.335,0.11,0.411,0
NA,NA,NA,0.11,NA,NA
I,0.45,0.34,0.105,0.4385,0
I,0.465,0.345,0.105,0.4015,0
I,0.47,0.355,0.145,0.4485,0
I,0.47,0.355,0.115,0.4155,0
I,0.475,NA,0.16,0.7095,NA
I,NA,0.37,NA,0.637,NA
F,0.505,NA,0.16,1.1155,NA
I,0.51,0.405,0.13,0.599,0
I,0.52,0.38,0.13,0.5345,0
NA,0.53,0.42,0.14,NA,0
M,0.535,NA,0.16,0.7465,NA
M,0.55,0.44,0.16,0.985,0
M,0.555,NA,0.145,0.85,NA
M,NA,0.44,NA,0.838,NA
F,0.555,0.43,0.135,0.812,0
M,0.56,0.415,0.13,0.7615,0
M,0.575,0.44,0.145,0.87,0
F,0.585,0.45,0.145,0.9835,0
M,0.59,0.46,0.145,0.929,0
F,0.595,0.47,0.165,1.0155,0
M,0.6,0.41,0.145,0.939,0
M,0.6,0.475,0.16,NA,NA
M,0.61,0.47,0.175,1.214,0
F,0.615,0.49,0.19,NA,NA
NA,0.62,0.51,0.18,NA,0
NA,NA,NA,0.18,NA,NA
NA,NA,0.47,NA,NA,0
F,0.64,NA,0.165,1.1635,NA
F,0.64,NA,0.175,NA,0
F,0.645,0.52,0.175,1.3345,0
M,NA,0.505,NA,1.469,NA
M,0.655,0.52,0.18,NA,NA
NA,NA,NA,0.175,NA,NA
F,NA,0.5,NA,1.3275,NA
M,0.67,0.525,0.18,1.6615,0
F,NA,NA,0.19,1.492,1
